               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065433,            0.013337,            0.024006,             0.60713,             0.75795,             0.69358,             0.36547,            0.040484,            0.005184,            0.018367,             0.07003,             0.00333,             0.00333
                   1,            0.039982,            0.010889,            0.018694,             0.69877,              0.7569,             0.79354,             0.41985,            0.034184,           0.0046312,            0.015393,            0.039964,           0.0065974,           0.0065974
                   2,            0.036433,            0.010408,             0.01798,             0.72502,             0.76854,             0.79664,             0.49063,            0.030099,           0.0042683,            0.014292,           0.0098322,           0.0097987,           0.0097987
                   3,            0.033316,             0.01014,            0.017513,             0.68558,             0.79601,             0.80107,             0.43013,            0.032304,           0.0043394,            0.016048,            0.009703,            0.009703,            0.009703
                   4,            0.031309,           0.0097533,             0.01675,             0.68633,             0.80691,             0.82252,             0.41486,            0.035038,           0.0044532,            0.014693,            0.009703,            0.009703,            0.009703
                   5,            0.030202,           0.0095814,            0.016179,             0.71612,             0.80967,             0.84358,             0.52724,            0.026551,           0.0039957,            0.014374,            0.009604,            0.009604,            0.009604
                   6,            0.029357,           0.0093969,            0.016098,             0.76946,             0.82146,             0.86991,              0.4951,            0.031607,           0.0041381,            0.011692,            0.009505,            0.009505,            0.009505
                   7,            0.028726,           0.0093009,            0.015761,             0.77732,             0.82465,             0.87008,             0.54189,            0.027203,           0.0039888,            0.011729,            0.009406,            0.009406,            0.009406
                   8,            0.028277,           0.0091908,            0.015401,             0.77499,              0.8345,             0.87631,             0.55288,            0.027009,           0.0040274,            0.011619,            0.009307,            0.009307,            0.009307
                   9,            0.027964,           0.0091601,            0.015218,             0.77115,             0.84664,             0.87884,             0.46997,            0.033607,           0.0043306,            0.011364,            0.009208,            0.009208,            0.009208
                  10,            0.027676,           0.0090896,            0.015184,             0.77425,              0.8322,             0.88428,             0.51869,            0.030321,           0.0041325,            0.011245,            0.009109,            0.009109,            0.009109
                  11,            0.027475,           0.0090343,            0.014982,             0.79311,             0.82485,             0.88603,             0.48268,            0.032574,           0.0042242,            0.010868,             0.00901,             0.00901,             0.00901
                  12,            0.027059,           0.0089097,            0.014959,              0.8062,              0.8451,             0.89982,             0.56845,            0.027031,           0.0039419,             0.01035,            0.008911,            0.008911,            0.008911
                  13,            0.026848,           0.0089494,            0.014428,             0.80239,             0.83001,              0.8957,             0.56349,            0.027461,           0.0039566,            0.010584,            0.008812,            0.008812,            0.008812
                  14,            0.026841,           0.0089303,            0.014674,             0.79944,             0.84339,              0.8963,             0.57059,            0.027067,           0.0039103,            0.010748,            0.008713,            0.008713,            0.008713
